-17	-17	27	-51	-76	-12	-58	-121	-71	-56	1	-31	49	1	-96	-119	-71	-48	234	266	39	-133	-81	-91	435	-119	-162	1353	1971	176	-14	-18	2982	33	1048	-29	1824	982
1057	785	1147	1210	594	1219	1290	1394	1247	798	885	925	800	801	678	933	1582	825	747	853	359	754	1090	909	842	701	1176	1474	716	1403	1467	1833	1836	1845	1122	2165	1424	1273
1524	1980	2311	2408	1671	2562	2387	1271	3298	2396	1589	1122	1947	1641	1525	1551	2602	1397	1536	2503	755	680	1922	1418	1429	1142	1297	2627	1113	4732	3463	3559	3069	3984	2219	4460	2493	2401
31	7	151	173	36	80	77	101	182	68	-6	135	103	39	43	36	345	74	47	37	76	363	89	169	81	37	125	510	69	2498	264	1407	1293	83	218	1884	2576	275
-208	334	-386	366	408	200	381	-215	-322	36	-163	448	-102	153	195	9	192	-182	-114	-52	-131	172	186	177	209	-156	-517	319	259	2131	676	264	507	908	228	1087	1174	284
1275	1876	864	917	1333	946	1159	2985	1749	1193	506	455	965	2125	1312	1270	1747	742	1562	3383	822	596	512	1044	1563	1253	1569	2292	1354	2445	1569	1942	4832	3670	3623	2939	2613	2699
196	2120	967	173	802	1984	221	130	1709	414	272	-99	660	2327	983	248	4348	549	-12	17	26	37	319	288	-28	209	-433	1316	1964	7616	4036	3776	2892	2506	1221	7884	4401	140
174	309	226	151	672	353	114	122	48	282	215	135	111	236	159	281	811	124	130	194	34	139	22	292	132	217	75	226	1561	989	1004	454	959	714	423	2776	1897	162
753	1202	555	1484	897	810	1088	623	468	409	1508	793	454	642	671	481	631	978	202	422	364	1085	668	801	537	754	571	1701	591	2087	1330	749	2398	1342	815	3568	2465	1761
-267	421	-1046	5	484	-743	-189	-247	-548	-408	-504	-159	495	-298	818	-311	400	-445	-267	233	-233	-370	-896	604	-138	64	-1118	225	1359	2147	651	595	865	953	31	2910	1500	-324
1986	1875	2582	1669	1249	1717	2202	2418	2140	1502	1608	1097	905	1831	1120	921	1911	971	1363	1396	854	1411	1506	1377	1697	995	1813	2376	1467	3227	6516	2182	2868	1748	2108	4437	3572	3523
223	1074	148	-53	353	421	102	28	272	367	88	426	220	213	130	30	323	-38	102	1070	199	-171	117	-132	395	290	-39	2972	1017	3369	230	861	2236	80	149	2670	2327	460
631	739	106	352	2028	17	245	281	621	381	373	626	712	800	704	537	648	345	364	1029	748	549	85	773	245	814	384	1121	1755	7589	1888	1696	2519	1907	743	4797	3199	1015
424	368	717	537	170	577	586	589	724	379	415	201	191	283	172	450	790	432	252	478	423	346	463	576	542	534	506	590	1454	773	732	704	1012	969	428	967	882	758
54	209	128	109	34	122	35	47	142	78	108	11	4	108	-46	58	171	62	237	230	61	27	53	11	183	-95	137	309	444	861	1361	35	253	91	341	1600	737	659
398	908	906	763	201	620	672	1478	1184	1142	615	889	875	453	751	192	852	59	520	524	884	741	351	712	272	278	388	626	717	2450	1636	1206	1835	1118	1108	2892	1271	1887
-231	322	-452	-297	302	-10	-194	-320	-57	19	-233	-122	-184	694	-199	-42	-91	-106	-139	-118	-131	-231	-226	-133	-195	-142	-311	1696	827	1036	-124	522	2182	-23	302	3890	2921	153
1284	540	236	786	968	368	344	-196	310	260	210	146	825	513	440	94	3755	173	265	897	347	258	311	593	104	741	-15	1355	2219	4607	1017	2212	4198	1192	1243	5814	2930	1060
555	1063	921	348	589	277	509	490	553	609	600	273	576	1016	548	451	1238	1043	345	718	357	568	281	668	510	402	832	1372	733	2184	783	2100	1571	1255	880	1863	1260	644
75	129	44	218	110	33	115	32	9	54	38	7	103	72	158	28	117	99	101	22	48	74	43	168	9	117	12	297	190	326	197	259	100	355	295	283	311	70
2654	6765	3387	1646	2189	2951	1885	2193	5145	2334	3947	4207	3709	2466	4968	2102	3974	1891	1712	5593	3173	8670	2505	1876	5221	4124	1128	13057	8213	12449	3250	6749	14471	2537	1226	13963	13317	16171
1057	1395	823	1655	2000	537	6133	775	633	463	628	294	1220	662	1990	1143	2474	220	1271	4004	1781	350	431	3970	747	773	115	3077	6000	5065	7260	2027	3072	5878	2140	5162	2887	4681
330	811	212	584	1018	206	655	-187	1176	100	164	446	196	1216	664	295	1080	327	228	1475	449	130	131	534	271	305	251	866	1092	4079	2179	1571	702	2501	1885	3927	1916	456
-70	364	-208	34	218	401	255	-100	521	-169	-276	252	4	493	114	-91	78	-163	-196	-345	82	-175	121	-183	-49	-65	-239	1179	868	1537	1675	657	562	1338	565	2892	157	-245
921	4101	2799	1166	3250	3126	1053	1751	2343	1502	964	2599	123	3264	434	975	1133	1261	758	1057	448	993	1782	39	160	446	2406	2165	3475	7039	5146	7380	13397	4300	2397	15351	13348	2374
557	2716	1716	1143	2917	3300	830	1683	1965	1781	833	4009	93	3576	637	635	817	1631	846	883	560	886	1525	108	512	441	1976	1953	4063	6612	7821	5778	13076	4192	2327	15761	13087	1663
695	812	810	599	282	711	556	1281	746	513	461	494	315	1030	333	426	588	666	250	284	137	401	613	513	439	416	430	1147	478	2279	754	978	1690	1702	1137	2014	2683	974
162	169	-18	199	334	117	378	571	-8	176	139	530	182	452	304	540	1263	203	1074	1071	675	177	417	300	559	342	7	2274	2195	478	983	1017	1999	727	1639	1096	3397	4465
1489	6084	2281	2178	1094	1513	2866	2129	3862	1974	2561	7901	3602	1204	2859	1259	2689	2753	815	2233	5193	1026	740	2785	14011	2381	569	13895	1908	11990	9866	10899	14090	13338	2306	21135	12115	5902
-88	109	-53	-111	139	46	-77	-214	94	45	40	267	70	136	135	18	184	10	-38	17	34	-23	30	209	13	19	-100	373	550	425	82	619	864	59	72	692	672	307
782	368	1268	882	949	910	826	1302	1337	82	737	1296	160	838	520	478	7	-144	45	-862	343	678	1177	734	502	29	176	548	19615	9994	7791	976	4108	13464	1233	7955	9933	2676
382	3606	2997	1331	3069	2850	1201	1947	2629	2148	969	3939	210	3633	735	637	973	1263	694	888	447	527	1820	71	515	304	2331	2475	3605	6268	7035	7969	13195	4259	2517	15519	13221	2702
5418	17348	6156	7070	9017	6221	4746	7881	9431	5092	6027	15280	6183	13077	8506	3720	12676	9783	4453	13988	2900	6074	3729	6023	13278	4718	4110	16705	11012	18372	12276	19173	21498	12406	7855	24521	21277	20124
-115	2171	-26	22	244	108	-45	674	103	252	9	988	-42	389	-46	-48	-83	944	343	950	64	88	-85	-96	560	43	-269	159	5824	7142	499	1853	6704	394	72	5940	6247	6530
1410	2325	2789	1132	1269	1854	2735	1962	2900	1855	1471	1763	786	2337	2035	1910	4215	711	1346	2273	545	949	1297	1343	1371	1330	2127	4214	2558	8793	4630	7373	2771	5587	3909	12358	7125	2275
292	2062	-25	-2	138	23	107	-19	104	-35	189	1855	3	9	91	73	17	41	16	242	184	155	148	-146	4271	29	-233	10476	1653	2971	688	7108	13176	3693	-45	11517	12979	5072
