702	531	973	1271	1069	102	907	639	1414	1781	346	2057	198	683	731	641	981	945	435	993	1668	1424	1488	1447	2433	2812	1604	1755	2492	604	1126	1350	1439	2340
2582	1260	1194	1826	2534	2257	1574	1584	1572	2013	1403	2364	2065	981	1316	1594	2850	737	1622	2027	4892	1886	2442	3189	4908	2028	2936	2908	3411	3250	4714	4299	2216	895
876	1487	522	1281	688	696	887	608	458	818	615	981	947	752	2207	1516	721	736	901	1243	2257	2785	2032	2952	2110	1222	1749	1037	4562	2641	1350	4695	1980	343
3495	8754	3733	8269	7093	5446	10161	5576	5179	6730	5369	8340	3445	5310	8935	12108	7712	5269	3705	4707	12496	6456	14775	13243	18426	11462	6311	7167	9031	8808	12854	16263	11064	7922
125	1181	164	745	379	76	597	307	62	100	257	222	56	569	461	3077	1102	126	172	231	2518	1393	1636	738	2110	1912	1236	2710	2069	843	993	4985	2372	1012
649	671	586	506	767	589	306	687	361	721	399	649	391	508	1602	1269	1935	434	661	1339	2730	1675	2783	5116	2157	1077	1335	1814	1590	1292	1756	932	1762	1397
1738	708	2274	1828	1946	417	1188	951	1393	1062	586	1170	1246	1769	2601	1618	1760	1025	1494	2122	3427	2120	3266	3457	2860	1662	1489	1933	2600	4346	4514	2803	2631	960
-328	-745	-87	-142	-114	-692	461	-62	-2	80	116	37	-339	208	89	-97	56	-61	11	83	316	490	1178	-1	275	589	556	466	-36	954	942	184	499	15
453	392	526	403	1420	1118	342	497	246	725	386	459	638	665	416	919	856	368	185	525	1486	710	1875	1114	1206	1141	1591	569	1124	1485	1537	1705	965	260
6288	3412	10245	6421	10431	3219	4639	8790	5841	9981	10026	6448	5598	6456	14938	8556	11688	6574	8020	8259	20576	15497	23869	21043	1613	14092	19612	7833	17887	28552	21048	6316	22494	8252
164	797	265	313	178	390	491	223	252	87	173	217	185	147	1448	462	505	426	190	406	2735	2089	1744	1522	855	444	1020	385	489	1837	2686	1499	716	460
-574	-348	-244	336	226	-588	252	-298	-1	53	-124	277	-33	579	560	406	266	-102	3	-130	2782	788	1902	3451	495	593	1307	777	658	4617	3654	1979	243	-171
-21	1095	872	561	956	-569	754	896	492	329	446	441	84	688	716	1064	777	49	131	551	1046	1230	2332	2499	1724	990	250	3464	1218	1869	1161	856	1208	2164
284	188	362	111	289	393	117	680	185	185	174	511	455	610	51	318	229	162	249	193	1238	1957	1629	1392	770	1578	945	1046	145	530	1083	664	564	86
-48	46	63	163	132	-2	48	129	51	120	10	12	54	38	-10	128	57	21	3	-22	181	112	250	54	525	526	200	448	210	389	351	528	230	60
584	1226	586	582	1114	504	369	701	240	455	436	352	296	630	565	370	514	238	141	345	2437	1381	1558	1755	971	758	1060	1024	1064	1679	1926	1740	678	219
951	1008	1107	1405	1642	2622	1208	1502	1169	1551	1750	768	1815	2577	2718	1576	2065	1243	1297	558	6223	2815	13422	5946	6179	5971	3913	2442	2776	7323	6215	11451	2172	1775
3232	2540	3560	5593	4410	6154	6937	3930	5188	4178	4029	11658	5188	7968	8204	8353	5374	3821	3662	2732	9912	7037	11229	8264	18426	11417	8011	11576	9324	8947	10649	9298	9004	6900
490	-49	989	706	199	1293	18	1213	-60	-146	-30	2269	296	2681	-113	87	777	917	-139	311	9138	10171	747	9006	22222	9986	14230	27285	28390	2606	5895	3917	17371	228
-24	939	1	-12	-94	-54	122	310	-50	-55	-34	97	-54	-2	378	1250	45	-51	98	37	2494	3564	1808	4145	893	357	553	677	2017	1214	2089	1604	2660	28
168	244	154	287	222	390	73	88	128	117	37	159	252	122	247	74	252	111	130	230	928	593	1533	769	629	827	646	336	526	1605	1883	2204	560	341
231	275	181	109	211	274	62	132	163	99	23	179	229	104	324	169	180	120	265	277	328	305	1229	749	583	355	788	877	700	873	1643	1116	695	97
62	273	500	75	485	-515	216	288	72	-298	-4	247	90	241	2189	507	1086	140	378	1247	3266	1412	4199	1465	2269	1079	615	1722	1915	4191	3418	2133	1474	549
-65	68	250	107	-177	394	-125	-96	502	78	49	359	553	180	2090	163	-166	239	-39	453	11686	2745	17846	21404	10737	3168	14193	2460	123	24178	19680	3293	12735	2103
-178	30	207	367	361	256	597	648	699	601	776	374	239	343	528	1021	456	631	182	265	1959	1617	3432	1057	1385	1880	222	1048	1850	2801	2444	2719	1023	447
33	1269	1045	2450	1537	690	1183	7064	155	1327	283	2057	1102	4509	4401	2282	2128	348	1128	1357	7281	6957	6371	7056	7248	8964	3653	10449	975	5314	5178	6311	5086	3340
-323	-524	-124	203	-140	-190	-111	-120	-38	-31	-83	-77	-2	-33	149	115	16	-321	-28	-21	6595	9851	7213	19568	4366	10120	5903	3717	2130	5249	7924	2705	4667	-189
444	426	832	588	1207	814	432	249	338	334	613	751	576	856	791	934	1158	366	792	811	1821	1723	2080	1731	2300	1100	936	1620	1046	1846	1690	1371	908	925
7	360	911	605	920	-62	565	216	289	1110	291	646	417	338	1616	1053	799	210	187	435	3223	1518	3016	3162	5704	2458	1724	2496	1705	3785	6008	1819	1717	1095
178	105	92	399	805	-428	252	-52	-152	-61	28	878	162	373	2451	1931	395	43	509	417	5814	2335	2007	3870	4403	2287	2871	2122	3186	7133	5949	4174	2194	543
91	70	24	63	70	92	45	165	-87	14	-15	27	167	38	38	1	34	43	-2	94	1582	1269	892	1233	643	1267	1480	1568	3166	1121	2767	1415	1550	163
2751	-270	2578	521	2456	3021	2194	1713	1937	2639	3014	811	2137	3825	-152	2203	4218	2815	935	742	-722	-673	-458	-856	53	-324	-293	275	-73	-252	-561	-984	-248	308
8700	4614	4357	7369	7216	6603	1487	7540	8791	12307	5433	1595	4537	7480	-28	5653	4830	1644	1671	1327	120	74	1	123	-218	51	80	445	221	-53	106	-27	-170	249
